id,code,master_code,name,category
nhsa_jbzd_34_3x03,"34.3x03",True,"纵隔病损射频消融术","手术"
nhsa_jbzd_34_3x04,"34.3x04",True,"胸腔镜下纵隔病损切除术","手术"
nhsa_jbzd_34_3x05,"34.3x05",True,"纵隔镜下纵隔病损切除术","手术"
nhsa_jbzd_34_4x00,"34.4x00",True,"胸壁病损的切除术或破坏术","手术"
nhsa_jbzd_34_4x00x008,"34.4x00x008",True,"胸腔病损切除术","手术"
nhsa_jbzd_34_4x00x009,"34.4x00x009",True,"胸壁病损氩氦刀冷冻术","手术"
nhsa_jbzd_34_4x00x010,"34.4x00x010",True,"胸壁病损射频消融术","手术"
nhsa_jbzd_34_4x01,"34.4x01",True,"胸壁病损切除术","手术"
nhsa_jbzd_34_4x02,"34.4x02",True,"胸壁部分切除术","手术"
nhsa_jbzd_34_4x03,"34.4x03",True,"胸腔镜下胸壁病损切除术","手术"
nhsa_jbzd_34_5100,"34.5100",True,"肺皮质剥除术","手术"
nhsa_jbzd_34_5100x004,"34.5100x004",True,"脏层胸膜剥除术","手术"
nhsa_jbzd_34_5100x005,"34.5100x005",True,"肺门胸膜剥除松解术","手术"
nhsa_jbzd_34_5101,"34.5101",True,"胸膜剥脱术","手术"
nhsa_jbzd_34_5200,"34.5200",True,"胸腔镜肺剥离","手术"
nhsa_jbzd_34_5200x001,"34.5200x001",True,"胸腔镜下胸膜剥脱术","手术"
nhsa_jbzd_34_5900,"34.5900",True,"胸膜其他切除术","手术"
nhsa_jbzd_34_5900x001,"34.5900x001",True,"胸腔镜下胸膜部分切除术","手术"
nhsa_jbzd_34_5901,"34.5901",True,"胸膜部分切除术","手术"
nhsa_jbzd_34_5902,"34.5902",True,"胸膜病损切除术","手术"
nhsa_jbzd_34_5903,"34.5903",True,"胸膜切除术","手术"
nhsa_jbzd_34_5904,"34.5904",True,"胸腔镜下胸膜病损切除术","手术"
nhsa_jbzd_34_6x00,"34.6x00",True,"胸膜划痕术","手术"
nhsa_jbzd_34_6x01,"34.6x01",True,"胸膜硬化术","手术"
nhsa_jbzd_34_6x02,"34.6x02",True,"胸腔镜下胸膜划痕术","手术"
nhsa_jbzd_34_7100,"34.7100",True,"胸壁裂伤缝合术","手术"
nhsa_jbzd_34_7101,"34.7101",True,"胸壁清创缝合术","手术"
nhsa_jbzd_34_7200,"34.7200",True,"胸廓造口闭合术","手术"
nhsa_jbzd_34_7300,"34.7300",True,"胸其他瘘管闭合术","手术"
nhsa_jbzd_34_7300x001,"34.7300x001",True,"食管-胸膜瘘闭合术","手术"
nhsa_jbzd_34_7300x002,"34.7300x002",True,"胸腔镜下支气管胸膜瘘闭合术","手术"
nhsa_jbzd_34_7301,"34.7301",True,"支气管胸膜瘘闭合术","手术"
