id,name,ref,company_type,category_id/id
enterprise_00463,昆明利尔康医疗用品有限公司,00463,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00464,上海同安医疗用品制造有限公司,00464,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00466,沈阳珏美义齿有限公司,00466,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00469,北京安泰生物医用材料有限公司,00469,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00474,南京智服医疗器械咨询服务有限公司,00474,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00476,普利瑞医疗科技（苏州）有限公司,00476,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00477,天津安怀信科技有限公司,00477,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00479,稳健医疗（黄冈）有限公司,00479,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00480,大连康泰瑞华牙科技术有限公司,00480,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00482,内特斯医疗仪器（北京）有限公司,00482,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00484,江苏康为世纪生物科技股份有限公司,00484,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00485,建德市康华医疗器材有限公司,00485,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00487,仙桃市洁美塑料制品有限公司,00487,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00490,山东梁山三利树脂有限公司,00490,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00492,上海坚藤齿科器械有限公司,00492,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00493,大连致美科技有限公司,00493,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00494,上海康定医疗器械有限公司,00494,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00496,深圳市索莱瑞医疗技术有限公司,00496,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00497,菏泽海希康医疗用品有限公司,00497,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00502,山西卓越康诚牙科技术有限责任公司,00502,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00503,重庆泊远科技有限公司,00503,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00507,台州雅仕美医疗科技有限公司,00507,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00509,苏州碧利医疗科技有限公司,00509,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00510,长春市威远义齿制作有限公司,00510,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00512,浙江景嘉医疗科技有限公司,00512,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00516,重庆琪美斯医疗设备有限公司,00516,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00520,浙江京环医疗用品有限公司,00520,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00523,迈迪康医疗用品江苏有限公司,00523,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00524,深圳市威浩康医疗器械有限公司,00524,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00525,北京市春立正达医疗器械股份有限公司,00525,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00530,上海契斯特医疗科技公司,00530,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00533,唐山德高医疗科技有限公司,00533,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00535,尚钧医疗科技（安徽）有限公司,00535,机构,nhsa_consumables.res_partner_category_manufacturer
