id,name,primary_classification,secondary_classification,tertiary_classification,common_name,material,characteristics,payment_category,payment_standard,description
gz_nhsa_consumables_C01021300400002,C01021300400002,非血管介入治疗类材料,消化介入材料,消化扩张导管,导管,不区分,胆胰,乙类,950.00,
gz_nhsa_consumables_C01021500400001,C01021500400001,非血管介入治疗类材料,消化介入材料,消化介入造影导管,导管,不区分,单腔造影管,乙类,428.00,
gz_nhsa_consumables_C01021500400002,C01021500400002,非血管介入治疗类材料,消化介入材料,消化介入造影导管,导管,不区分,多腔造影管,乙类,195.20,
gz_nhsa_consumables_C01021600300001,C01021600300001,非血管介入治疗类材料,消化介入材料,消化道导丝,导丝,不区分,ERCP消化道导丝/双头导丝/,乙类,1887.03,
gz_nhsa_consumables_C01021600300002,C01021600300002,非血管介入治疗类材料,消化介入材料,消化道导丝,导丝,不区分,-ER头CP消化道导丝/双头导丝/,乙类,480.00,
gz_nhsa_consumables_C01021600300003,C01021600300003,非血管介入治疗类材料,消化介入材料,消化道导丝,导丝,不区分,-ER头CP消化道导丝/单头导丝/,乙类,1608.02,
gz_nhsa_consumables_C01021600300004,C01021600300004,非血管介入治疗类材料,消化介入材料,消化道导丝,导丝,不区分,-ER头CP消化道导丝/单头导丝/,乙类,1791.23,
gz_nhsa_consumables_C01021600300005,C01021600300005,非血管介入治疗类材料,消化介入材料,消化道导丝,导丝,不区分,普通消化道导丝/双头导丝/,乙类,480.00,
gz_nhsa_consumables_C01021600300006,C01021600300006,非血管介入治疗类材料,消化介入材料,消化道导丝,导丝,不区分,-普头通消化道导丝/双头导丝/,乙类,480.00,
gz_nhsa_consumables_C01021600300007,C01021600300007,非血管介入治疗类材料,消化介入材料,消化道导丝,导丝,不区分,-普头通消化道导丝/单头导丝/,乙类,690.72,
gz_nhsa_consumables_C01021600300008,C01021600300008,非血管介入治疗类材料,消化介入材料,消化道导丝,导丝,不区分,-普头通消化道导丝/单头导丝/,乙类,480.00,
gz_nhsa_consumables_C01021701901001,C01021701901001,非血管介入治疗类材料,消化介入材料,消化介入网篮,网篮,不锈钢,-可头连接碎石器/可过导丝,乙类,1566.00,
gz_nhsa_consumables_C01021701901002,C01021701901002,非血管介入治疗类材料,消化介入材料,消化介入网篮,网篮,不锈钢,可连接碎石器/普,乙类,1497.12,
gz_nhsa_consumables_C01021701901003,C01021701901003,非血管介入治疗类材料,消化介入材料,消化介入网篮,网篮,不锈钢,不通可连碎石器/可过导丝,乙类,3406.32,
gz_nhsa_consumables_C01021701901004,C01021701901004,非血管介入治疗类材料,消化介入材料,消化介入网篮,网篮,不锈钢,不可连碎石器/普,乙类,1881.10,
gz_nhsa_consumables_C01021701901005,C01021701901005,非血管介入治疗类材料,消化介入材料,消化介入网篮,网篮,不锈钢,取通碎石一体/可过导丝,乙类,2343.81,
gz_nhsa_consumables_C01021701902001,C01021701902001,非血管介入治疗类材料,消化介入材料,消化介入网篮,网篮,合金,可连接碎石器/可过导丝,乙类,2295.56,
